Fruit Name,Family Rank,Fruit Friend 1,Fruit Friend 2,Fruit Friend 3
Citron,Grandfather,Yuzu,Bergamot,Buddha's Hand
Kumquat,Grandmother,Calamansi,Limequat,Finger Lime
Orange,Father,Tangerine,Clementine,Mandarin Orange
Lemon,Mother,Meyer Lemon,Eureka Lemon,Sweet Lemon
Lime,Son,Key Lime,Kaffir Lime,Desert Lime
Grapefruit,Daughter,Pomelo,Ugli Fruit,Oroblanco
Elderberry,Grandfather,Black Currant,Aronia Berry,Chokeberry
Gooseberry,Grandmother,Physalis,Red Currant,White Currant
Strawberry,Father,Pineberry,Boysenberry,Loganberry
Blueberry,Mother,Huckleberry,Bilberry,Lingonberry
Raspberry,Son,Cloudberry,Salmonberry,Thimbleberry
Blackberry,Daughter,Marionberry,Dewberry,Tayberry
Date,Grandfather,Jujube,Medjool Date,Deglet Noor Date
Olive,Grandmother,Black Olive,Kalamata Olive,Castelvetrano Olive
Peach,Father,Nectarine,Aprium,Plumcot
Apricot,Mother,Japanese Plum,Mirabelle Plum,Greengage
Cherry,Son,Sour Cherry,Rainier Cherry,Black Cherry
Plum,Daughter,Damson,Sloe,Beach Plum
Jackfruit,Grandfather,Breadfruit,Chempedak,Marang
Papaya,Grandmother,Babaco,Mountain Papaya,Pawpaw
Mango,Father,Passion Fruit,Sapodilla,Cherimoya
Pineapple,Mother,Soursop,Custard Apple,Atemoya
Banana,Son,Plantain,Red Banana,Blue Java Banana
Guava,Daughter,Feijoa,Strawberry Guava,Pineapple Guava
Quince,Grandfather,Crabapple,Japanese Quince,Flowering Quince
Medlar,Grandmother,Serviceberry,Hawthorn Berry,Rowan Berry
Apple,Father,Asian Pear,Sugar Apple,Mayhaw
Pear,Mother,Prickly Pear,Sand Pear,Ussuri Pear
Persimmon,Son,Black Sapote,Mabolo,White Sapote
Loquat,Daughter,Yellow Mombin,Hog Plum,June Plum
Bitter Melon,Grandfather,Karela,Balsam Pear,Wild Cucumber
Winter Melon,Grandmother,Ash Gourd,Wax Gourd,Fuzzy Melon
Watermelon,Father,Citron Melon,Canary Melon,Santa Claus Melon
Cantaloupe,Mother,Muskmelon,Ogen Melon,Crenshaw Melon
Honeydew,Son,Casaba Melon,Piel de Sapo Melon,Korean Melon
Galia Melon,Daughter,Sharlyn Melon,Sprite Melon,Tiger Melon
Durian,Grandfather,Langsat,Salak,Cupuaçu
Mangosteen,Grandmother,Pulasan,Mamey,Longan
Dragon Fruit,Father,Saguaro Fruit,Nopales,Baobab Fruit
Star Fruit,Mother,Bilimbi,Pepino,Tamarillo
Lychee,Son,Spanish Lime,Quenepa,Ackee
Rambutan,Daughter,Miracle Fruit,Noni,Lucuma
