Name,Family,Family_scientific,Color(s),Place of Origin,Countries Where It Grows,Importance in Industry,Historical Significance,Nutritional Benefits,Medicinal Uses,Interesting Chemicals
Citron,Citrus,Rutaceae (Citrus family),Bright yellow when ripe,Southeast Asia (India or nearby regions),"India, China, Japan, Mediterranean countries like Italy and Greece","Used for candied peels, flavorings, essential oils in perfumes and aromatherapy; significant in religious rituals",One of the oldest citrus fruits; used in Jewish rituals during the festival of Sukkot as the Etrog,"Rich in vitamin C, dietary fiber, and antioxidants","Traditionally used to treat digestive issues, nausea, and skin conditions","Contains limonene, citral, and bioflavonoids"
Kumquat,Citrus,Rutaceae (Citrus family),Bright orange to yellow-orange,China,"China, Japan, Southeast Asia, the United States (Florida, California)","Consumed fresh, used in marmalades, jellies, candies, and liqueurs",Cultivated for centuries in China; symbolizes good luck and prosperity,"High in vitamin C, fiber, and antioxidants",Used in traditional Chinese medicine for coughs and sore throats,Rich in essential oils like limonene and pinene
Orange,Citrus,Rutaceae (Citrus family),Bright orange,Southeast Asia (possibly southern China),"Brazil, United States, India, China, Spain, Mexico","Widely consumed fresh and as juice; used in marmalades, candies, and flavorings; essential oils used in cosmetics and cleaning products",Introduced to Europe via trade routes; became a symbol of luxury and health,"Excellent source of vitamin C, fiber, folate, and antioxidants",Supports immune function; used in aromatherapy for its uplifting scent,"Contains hesperidin, limonene, and flavonoids"
Lemon,Citrus,Rutaceae (Citrus family),Bright yellow,Northeast India or China,"India, Mexico, Argentina, Spain, United States","Used in beverages (lemonade), cooking, baking, cleaning products, cosmetics, and aromatherapy",Used by sailors to prevent scurvy; symbol of cleanliness and freshness,"High in vitamin C, flavonoids, and potassium","Aids digestion, boosts immunity, used in traditional remedies for sore throats","Contains citric acid, limonene, and ascorbic acid"
Lime,Citrus,Rutaceae (Citrus family),Green when ripe,Southeast Asia (Malaysia and Indonesia),"Mexico, India, Argentina, Brazil, the United States","Used in beverages (like margaritas), culinary dishes, perfumes, and cleaning products","British sailors used limes to prevent scurvy, leading to the nickname ""Limey""","High in vitamin C, antioxidants","Supports immune system, aids in iron absorption","Contains limonene, citric acid, and flavonoids"
Grapefruit,Citrus,Rutaceae (Citrus family),Yellow to pink or red flesh,Barbados (a hybrid of sweet orange and pomelo),"United States (Florida, Texas), China, South Africa, Mexico, Israel","Consumed fresh, in juices, and in dietary supplements",Discovered in the 18th century; name derived from the fruit growing in grape-like clusters,"High in vitamin C, vitamin A, fiber, and antioxidants","May aid weight loss, improve heart health, but interacts with certain medications","Contains naringin, lycopene (in pink/red varieties), and furanocoumarins"
Elderberry,Berries,Adoxaceae (Moschatel family),Dark purple to black berries,"Europe, North America","United States, Europe, parts of Asia and Africa","Used in syrups, jams, wines, and dietary supplements",Used in traditional medicine; folklore associates it with protection against evil,"Rich in vitamin C, dietary fiber, and antioxidants",Traditionally used to boost immune function and treat cold and flu symptoms,"Contains anthocyanins, flavonoids, and phenolic acids"
Gooseberry,Berries,Grossulariaceae (Currant family),"Green, yellow, red, or purple","Europe, North Africa, and western Asia","United Kingdom, Germany, Russia, India","Used in desserts, jams, and as a flavoring in beverages",Popular in British cooking; subject to cultivation bans in the U.S. in the early 1900s due to disease concerns,"High in vitamin C, fiber, and antioxidants",Used in traditional remedies for digestive issues and skin health,"Contains citric acid, flavones, and anthocyanins"
Strawberry,Berries,Rosaceae (Rose family),Bright red,Hybrid origin from North America and Chile,"United States, Turkey, Spain, Egypt, Mexico","Consumed fresh, in desserts, jams, candies, and flavorings; used in cosmetics",Cultivated since the 18th century; symbolizes love and purity,"High in vitamin C, manganese, and antioxidants","Promotes heart health, regulates blood sugar","Contains ellagic acid, anthocyanins, and flavonoids"
Blueberry,Berries,Ericaceae (Heath family),Deep blue to purple,North America,"United States, Canada, Poland, Germany, Mexico","Consumed fresh, in baked goods, jams, and as dietary supplements",Used by Native Americans for food and medicine,"High in vitamin C, vitamin K, fiber, and antioxidants","Supports brain health, reduces inflammation","Rich in anthocyanins, quercetin, and resveratrol"
